VendorNumber,VendorName,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,Description,TotalSalesQuantity,TotalSalesPrice,TotalSalesDollars,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
4425,MARTIGNETTI COMPANIES,42949,9.45,13.99,750.0,128.0,1209.6000000000001,Kuentz Bas Alsace White,129.0,1009.2800000000003,1806.7100000000003,14.330000000000002,144929.24,597.1100000000001,33.04957630167542,1.0078125,1.4936425264550266,9.450000000000001,Medium,-9.45
516,BANFI PRODUCTS CORP,23079,10.06,14.99,750.0,120.0,1207.2,Bolla Torr'Alta Veronese Ros,108.0,227.87999999999997,2050.92,12.159999999999997,8510.410000000002,843.72,41.138610964835294,0.9,1.6989065606361828,10.06,Medium,120.72
17035,PERNOD RICARD USA,700,6.33,8.29,1000.0,190.0,1202.7000000000005,Hiram Walker Cr de Cacao Br,181.0,1185.4700000000003,1500.49,190.04999999999987,123780.21999999997,297.7899999999995,19.84618358003049,0.9526315789473684,1.2476012305645625,6.330000000000003,Medium,56.97
9552,M S WALKER INC,18938,6.49,10.99,750.0,185.0,1200.65,Schmitt Sohne Funf Sangria,170.0,1431.6900000000005,1858.300000000001,18.790000000000003,55551.819999999985,657.650000000001,35.389872464080106,0.918918918918919,1.5477449714737859,6.49,Medium,97.35000000000001
9165,ULTRA BEVERAGE COMPANY LLP,25819,7.14,10.99,750.0,168.0,1199.52,Ch de Mattes Corbieres 13,135.0,1088.0100000000004,1483.6500000000005,14.920000000000005,68054.70000000003,284.13000000000056,19.150743099787718,0.8035714285714286,1.2368697478991602,7.14,Medium,235.61999999999998
7245,PROXIMO SPIRITS INC.,925,22.21,27.99,750.0,54.0,1199.34,Hangar One Vodka,54.0,391.86,1511.46,42.53,38994.78000000001,312.1200000000001,20.650232225794934,1.0,1.260243133723548,22.209999999999997,Small,0.0
10754,PERFECTA WINES,16532,7.89,11.99,750.0,152.0,1199.2800000000002,Zestos Blanco,116.0,217.82999999999998,1489.84,13.040000000000003,28720.52,290.5599999999997,19.502765397626572,0.7631578947368421,1.2422787005536653,7.8900000000000015,Medium,284.03999999999996
4425,MARTIGNETTI COMPANIES,26840,11.1,16.99,750.0,108.0,1198.8000000000002,Josh Cellars Cab Svgn Paso R,93.0,458.73,1580.0700000000002,10.410000000000002,144929.24,381.27,24.12994361009322,0.8611111111111112,1.318043043043043,11.100000000000001,Medium,166.5
3252,E & J GALLO WINERY,23401,10.8,15.99,750.0,111.0,1198.8000000000002,Bridlewood Slct Pnt Nr Lucia,340.0,1391.1300000000006,5436.599999999999,38.10999999999999,61966.909999999996,4237.799999999999,77.94945370268181,3.063063063063063,4.535035035035034,10.800000000000002,Medium,-2473.2000000000003
6213,MHW LTD,8043,4.47,5.99,750.0,268.0,1197.9600000000003,Bols Triple Sec,277.0,477.1800000000001,1623.2300000000005,218.17000000000004,9621.580000000002,425.2700000000002,26.198998293525875,1.0335820895522387,1.354995158436008,4.470000000000001,Medium,-40.23
1392,CONSTELLATION BRANDS INC,6472,2.71,3.99,750.0,442.0,1197.8199999999997,Richards Wild Irish Rose Red,402.0,143.64000000000004,1603.9800000000002,45.21,79528.99,406.16000000000054,25.32201149640273,0.9095022624434389,1.3390826668447686,2.7099999999999995,Medium,108.4
2000,SOUTHERN WINE & SPIRITS NE,23292,299.31,439.99,750.0,4.0,1197.24,Ch La Mission Haut Brion 11,4.0,879.98,1759.96,0.45,19016.59,562.72,31.97345394213505,1.0,1.4700143663759981,299.31,Small,0.0
17033,SEA BREEZE CELLARS LLC,418,33.11,49.99,750.0,36.0,1191.96,Darioush Chard,31.0,1199.76,1549.69,3.4300000000000006,549.5500000000002,357.73,23.083971633036285,0.8611111111111112,1.3001191315144804,33.11,Small,165.55
4425,MARTIGNETTI COMPANIES,10591,18.61,29.99,750.0,64.0,1191.04,J Lohr Fogs Ranch Pnt Nr,116.0,2015.3100000000004,3406.8400000000006,12.880000000000003,144929.24,2215.8000000000006,65.03974357469092,1.8125,2.860390918860828,18.61,Small,-967.72
